,Player,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,A Zampa (AUS),9,9,432,72,1,389,21,04-Aug,18.52,5.4,20.57,3,0
1,D Madushanka (SL),9,9,470,78.2,4,525,21,May-80,25,6.7,22.38,1,1
2,G Coetzee (SA),7,7,327,54.3,1,349,18,Apr-44,19.38,6.4,18.16,1,0
3,M Jansen (SA),8,8,388,64.4,3,415,17,Mar-31,24.41,6.41,22.82,0,0
4,Mohammed Shami (IND),4,4,156,26,3,112,16,May-18,7,4.3,9.75,1,2
5,MJ Santner (NZ),9,9,496,82.4,3,398,16,May-59,24.87,4.81,31,0,1
6,Shaheen Shah Afridi (PAK),8,8,426,71,2,409,16,May-54,25.56,5.76,26.62,0,1
7,JJ Bumrah (IND),8,8,383,63.5,5,233,15,Apr-39,15.53,3.65,25.53,1,0
8,RA Jadeja (IND),8,8,387,64.3,4,243,14,May-33,17.35,3.76,27.64,0,1
9,KA Maharaj (SA),9,9,474,79,1,346,14,Apr-46,24.71,4.37,33.85,1,0
10,BFW de Leede (NED),8,7,342,57,0,405,14,Apr-62,28.92,7.1,24.42,1,0
11,AU Rashid (ENG),8,8,418,69.4,1,358,13,Mar-42,27.53,5.13,32.15,0,0
12,TA Boult (NZ),9,9,486,81,6,418,13,Mar-37,32.15,5.16,37.38,0,0
13,Haris Rauf (PAK),8,8,414,69,1,469,13,Mar-43,36.07,6.79,31.84,0,0
14,Kuldeep Yadav (IND),8,8,391,65.1,1,271,12,02-Jul,22.58,4.15,32.58,0,0
15,K Rabada (SA),8,8,401,66.5,7,323,12,Mar-33,26.91,4.83,33.41,0,0
16,JR Hazlewood (AUS),9,9,433,72.1,5,369,12,Mar-38,30.75,5.11,36.08,0,0
17,LV van Beek (NED),7,7,365,60.5,1,369,12,Apr-74,30.75,6.06,30.41,1,0
19,PA van Meekeren (NED),8,8,386,64.2,1,357,11,Apr-23,32.45,5.54,35.09,1,0
20,Rashid Khan (AFG),9,9,519,86.3,2,388,11,Mar-37,35.27,4.48,47.18,0,0
21,LH Ferguson (NZ),6,6,276,46,3,236,10,Mar-19,23.6,5.13,27.6,0,0
22,Mohammed Siraj (IND),8,8,363,60.3,5,317,10,Mar-16,31.7,5.23,36.3,0,0
23,Mehidy Hasan Miraz (BAN),9,8,396,66,3,355,10,Mar-25,35.5,5.37,39.6,0,0
24,L Ngidi (SA),8,8,363,60.3,6,355,10,Feb-26,35.5,5.86,36.3,0,0
25,A Dutt (NED),8,8,423,70.3,6,374,10,Mar-44,37.4,5.3,42.3,0,0
26,PJ Cummins (AUS),9,9,389,64.5,1,396,10,Feb-32,39.6,6.1,38.9,0,0
27,Shoriful Islam (BAN),8,8,388,64.4,3,409,10,Mar-75,40.9,6.32,38.8,0,0
28,MA Starc (AUS),8,8,402,67,1,439,10,Feb-43,43.9,6.55,40.2,0,0
29,CR Woakes (ENG),7,7,297,49.3,1,271,9,Apr-54,30.11,5.47,33,1,0
30,Hasan Ali (PAK),6,6,306,51,2,321,9,Apr-71,35.66,6.29,34,1,0
31,Shakib Al Hasan (BAN),7,7,375,62.3,1,329,9,Mar-30,36.55,5.26,41.66,0,0
32,Mohammad Wasim (PAK),3,3,169,28.1,2,141,8,Mar-31,17.62,5,21.12,0,0
34,DJ Willey (ENG),5,5,246,41,6,203,8,Mar-45,25.37,4.95,30.75,0,0
35,Mohammad Nabi (AFG),9,9,369,61.3,4,254,8,Mar-28,31.75,4.13,46.12,0,0
36,CAK Rajitha (SL),6,6,294,49,1,336,8,Apr-50,42,6.85,36.75,1,0
37,Naveen-ul-Haq (AFG),8,8,322,53.4,1,352,8,Feb-47,44,6.55,40.25,0,0
38,Mujeeb Ur Rahman (AFG),9,9,491,81.5,2,458,8,Mar-51,57.25,5.59,61.37,0,0
39,T Shamsi (SA),3,3,167,27.5,0,170,7,Apr-60,24.28,6.1,23.85,1,0
40,Azmatullah Omarzai (AFG),9,9,228,38,1,270,7,Feb-52,38.57,7.1,32.57,0,0
41,AD Mathews (SL),5,5,133,22.1,2,107,6,Feb-14,17.83,4.82,22.16,0,0
42,Mahedi Hasan (BAN),3,2,90,15,0,111,6,Apr-71,18.5,7.4,15,1,0
43,GD Phillips (NZ),9,9,210,35,1,200,6,Mar-37,33.33,5.71,35,0,0
45,MA Wood (ENG),7,7,324,54,1,349,6,Feb-50,58.16,6.46,54,0,0
46,M Theekshana (SL),8,8,428,71.2,1,382,6,Feb-44,63.66,5.35,71.33,0,0
48,Noor Ahmad (AFG),4,4,228,38,1,182,5,Mar-49,36.4,4.78,45.6,0,0
49,CN Ackermann (NED),8,8,266,44.2,2,209,5,Feb-39,41.8,4.71,53.2,0,0
50,RE van der Merwe (NED),7,7,276,46,0,258,5,Feb-34,51.6,5.6,55.2,0,0
51,GJ Maxwell (AUS),7,6,315,52.3,1,260,5,Feb-34,52,4.95,63,0,0
52,R Ravindra (NZ),9,8,352,58.4,0,333,5,Feb-21,66.6,5.67,70.4,0,0
53,TG Southee (NZ),3,3,138,23,0,156,4,Feb-77,39,6.78,34.5,0,0
54,Taskin Ahmed (BAN),7,6,270,45,3,244,4,Feb-43,61,5.42,67.5,0,0
56,Mustafizur Rahman (BAN),8,7,336,56,2,322,4,Feb-36,80.5,5.75,84,0,0
57,Tanzim Hasan Sakib (BAN),1,1,60,10,0,80,3,Mar-80,26.66,8,20,0,0
59,MP Stoinis (AUS),6,5,84,14,0,98,3,Feb-40,32.66,7,28,0,0
61,LS Livingstone (ENG),6,6,174,29,1,158,3,Jan-13,52.66,5.44,58,0,0
62,MM Ali (ENG),5,5,196,32.4,0,188,3,Mar-42,62.66,5.75,65.33,0,0
63,Iftikhar Ahmed (PAK),8,7,246,41,0,224,3,Jan-16,74.66,5.46,82,0,0
65,MR Marsh (AUS),8,4,60,10,0,73,2,Feb-19,36.5,7.3,30,0,0
66,AAP Atkinson (ENG),2,2,96,16,0,101,2,Feb-60,50.5,6.31,48,0,0
72,PVD Chameera (SL),4,4,188,31.2,3,196,2,Jan-20,98,6.25,94,0,0
75,SA Abbott (AUS),1,1,18,3,0,25,1,Jan-25,25,8.33,18,0,0
77,AL Phehlukwayo (SA),1,1,42,7,0,36,1,Jan-36,36,5.14,42,0,0
79,JE Root (ENG),8,2,61,10.1,0,67,1,Jan-19,67,6.59,61,0,0
